breed,description,temperament_values,temperament,height,weight,expectancy,group,grooming_frequency_value,grooming_frequency_category,shedding_value,shedding_category,energy_level_value,energy_level_category,trainability_value,trainability_category,demeanor_value,demeanor_category
american bulldog,"the american bulldog is a descendant of the english bulldog. it is believed that the bulldog was in america as early as the 17th century. they came to the united states in the 1800s, with immigrants who brought their working bulldogs with them. small farmers and ranchers used this all-around working dog for many tasks including farm guardians, stock dogs, and catch dogs. the breed largely survived, particularly in the southern states, due to its ability to bring down and catch feral pigs.the breed we know as the american bulldog was originally known by many different names before the name american bulldog became the standard. in different parts of the south he was known as the white english southern bulldog, but most commonly just “bulldog.” the breed was not called a bulldog because of a certain look, but because they did real bulldog work. breed contact informationkatrina huffmasterphone:  850-519-3089 american bulldogs are a well-balanced athletic dog that demonstrate great strength, endurance, agility, and a friendly attitude. historically, they were bred to be a utility dog used for working the farm.",0,loyal,50.1606481,41.21439954,11.85283752,Foundation Stock Service,0.2,occasional,0.6,seasonal,0.8,energetic,0.6,agreeable,0.6,responsive
american bulldog,"the american bulldog is a descendant of the english bulldog. it is believed that the bulldog was in america as early as the 17th century. they came to the united states in the 1800s, with immigrants who brought their working bulldogs with them. small farmers and ranchers used this all-around working dog for many tasks including farm guardians, stock dogs, and catch dogs. the breed largely survived, particularly in the southern states, due to its ability to bring down and catch feral pigs.the breed we know as the american bulldog was originally known by many different names before the name american bulldog became the standard. in different parts of the south he was known as the white english southern bulldog, but most commonly just “bulldog.” the breed was not called a bulldog because of a certain look, but because they did real bulldog work. breed contact informationkatrina huffmasterphone:  850-519-3089 american bulldogs are a well-balanced athletic dog that demonstrate great strength, endurance, agility, and a friendly attitude. historically, they were bred to be a utility dog used for working the farm.",1,courageous,62.40734833,36.14986381,10.43396427,Foundation Stock Service,0.2,occasional,0.4,occasional,0.8,energetic,0.6,agreeable,0.6,responsive
american bulldog,"the american bulldog is a descendant of the english bulldog. it is believed that the bulldog was in america as early as the 17th century. they came to the united states in the 1800s, with immigrants who brought their working bulldogs with them. small farmers and ranchers used this all-around working dog for many tasks including farm guardians, stock dogs, and catch dogs. the breed largely survived, particularly in the southern states, due to its ability to bring down and catch feral pigs.the breed we know as the american bulldog was originally known by many different names before the name american bulldog became the standard. in different parts of the south he was known as the white english southern bulldog, but most commonly just “bulldog.” the breed was not called a bulldog because of a certain look, but because they did real bulldog work. breed contact informationkatrina huffmasterphone:  850-519-3089 american bulldogs are a well-balanced athletic dog that demonstrate great strength, endurance, agility, and a friendly attitude. historically, they were bred to be a utility dog used for working the farm.",0,loyal,59.17655439,33.50651006,10.86465391,Foundation Stock Service,0.6,2-3 times a week,0.6,seasonal,0.8,energetic,0.6,agreeable,0.6,responsive
american bulldog,"the american bulldog is a descendant of the english bulldog. it is believed that the bulldog was in america as early as the 17th century. they came to the united states in the 1800s, with immigrants who brought their working bulldogs with them. small farmers and ranchers used this all-around working dog for many tasks including farm guardians, stock dogs, and catch dogs. the breed largely survived, particularly in the southern states, due to its ability to bring down and catch feral pigs.the breed we know as the american bulldog was originally known by many different names before the name american bulldog became the standard. in different parts of the south he was known as the white english southern bulldog, but most commonly just “bulldog.” the breed was not called a bulldog because of a certain look, but because they did real bulldog work. breed contact informationkatrina huffmasterphone:  850-519-3089 american bulldogs are a well-balanced athletic dog that demonstrate great strength, endurance, agility, and a friendly attitude. historically, they were bred to be a utility dog used for working the farm.",1,courageous,53.80469465,41.98455481,11.4512674,Foundation Stock Service,0.2,occasional,0.6,seasonal,0.8,energetic,0.6,agreeable,0.6,responsive
american bulldog,"the american bulldog is a descendant of the english bulldog. it is believed that the bulldog was in america as early as the 17th century. they came to the united states in the 1800s, with immigrants who brought their working bulldogs with them. small farmers and ranchers used this all-around working dog for many tasks including farm guardians, stock dogs, and catch dogs. the breed largely survived, particularly in the southern states, due to its ability to bring down and catch feral pigs.the breed we know as the american bulldog was originally known by many different names before the name american bulldog became the standard. in different parts of the south he was known as the white english southern bulldog, but most commonly just “bulldog.” the breed was not called a bulldog because of a certain look, but because they did real bulldog work. breed contact informationkatrina huffmasterphone:  850-519-3089 american bulldogs are a well-balanced athletic dog that demonstrate great strength, endurance, agility, and a friendly attitude. historically, they were bred to be a utility dog used for working the farm.",1,courageous,58.63213936,42.1620388,11.14488278,Foundation Stock Service,0.2,occasional,0.6,seasonal,0.6,regular exercise,0.6,agreeable,0.6,responsive
american bulldog,"the american bulldog is a descendant of the english bulldog. it is believed that the bulldog was in america as early as the 17th century. they came to the united states in the 1800s, with immigrants who brought their working bulldogs with them. small farmers and ranchers used this all-around working dog for many tasks including farm guardians, stock dogs, and catch dogs. the breed largely survived, particularly in the southern states, due to its ability to bring down and catch feral pigs.the breed we know as the american bulldog was originally known by many different names before the name american bulldog became the standard. in different parts of the south he was known as the white english southern bulldog, but most commonly just “bulldog.” the breed was not called a bulldog because of a certain look, but because they did real bulldog work. breed contact informationkatrina huffmasterphone:  850-519-3089 american bulldogs are a well-balanced athletic dog that demonstrate great strength, endurance, agility, and a friendly attitude. historically, they were bred to be a utility dog used for working the farm.",0,loyal,61.68886038,38.02769977,10.68997496,Foundation Stock Service,0.2,occasional,0.6,seasonal,0.8,energetic,0.6,agreeable,0.6,responsive
beagle,"there are two beagle varieties: those standing under 13 inches at the shoulder, and those between 13 and 15 inches. both varieties are sturdy, solid, and “big for their inches,” as dog folks say. they come in such pleasing colors as lemon, red and white, and tricolor. the beagle’s fortune is in his adorable face, with its big brown or hazel eyes set off by long, houndy ears set low on a broad head.a breed described as “merry” by its fanciers, beagles are loving and lovable, happy, and companionable—all qualities that make them excellent family dogs. no wonder that for years the beagle has been the most popular hound dog among american pet owners. these are curious, clever, and energetic hounds who require plenty of playtime. not only is the beagle an excellent hunting dog and loyal companion, it is also happy-go-lucky, funny, and—thanks to its pleading expression—cute. they were bred to hunt in packs, so they enjoy company and are generally easygoing.",5,lively,34.31885764,9.336492602,14.46297852,Hound Group,0.6,2-3 times a week,0.6,seasonal,0.8,energetic,0.6,agreeable,0.8,friendly
beagle,"there are two beagle varieties: those standing under 13 inches at the shoulder, and those between 13 and 15 inches. both varieties are sturdy, solid, and “big for their inches,” as dog folks say. they come in such pleasing colors as lemon, red and white, and tricolor. the beagle’s fortune is in his adorable face, with its big brown or hazel eyes set off by long, houndy ears set low on a broad head.a breed described as “merry” by its fanciers, beagles are loving and lovable, happy, and companionable—all qualities that make them excellent family dogs. no wonder that for years the beagle has been the most popular hound dog among american pet owners. these are curious, clever, and energetic hounds who require plenty of playtime. not only is the beagle an excellent hunting dog and loyal companion, it is also happy-go-lucky, funny, and—thanks to its pleading expression—cute. they were bred to hunt in packs, so they enjoy company and are generally easygoing.",5,lively,35.33159911,12.75079785,12.68525107,Hound Group,0.6,2-3 times a week,0.6,seasonal,0.8,energetic,0.6,agreeable,0.6,responsive
beagle,"there are two beagle varieties: those standing under 13 inches at the shoulder, and those between 13 and 15 inches. both varieties are sturdy, solid, and “big for their inches,” as dog folks say. they come in such pleasing colors as lemon, red and white, and tricolor. the beagle’s fortune is in his adorable face, with its big brown or hazel eyes set off by long, houndy ears set low on a broad head.a breed described as “merry” by its fanciers, beagles are loving and lovable, happy, and companionable—all qualities that make them excellent family dogs. no wonder that for years the beagle has been the most popular hound dog among american pet owners. these are curious, clever, and energetic hounds who require plenty of playtime. not only is the beagle an excellent hunting dog and loyal companion, it is also happy-go-lucky, funny, and—thanks to its pleading expression—cute. they were bred to hunt in packs, so they enjoy company and are generally easygoing.",2,charming,31.846871,12.19812788,13.19789894,Hound Group,0.6,2-3 times a week,0.6,seasonal,0.8,energetic,0.6,agreeable,0.8,friendly
beagle,"there are two beagle varieties: those standing under 13 inches at the shoulder, and those between 13 and 15 inches. both varieties are sturdy, solid, and “big for their inches,” as dog folks say. they come in such pleasing colors as lemon, red and white, and tricolor. the beagle’s fortune is in his adorable face, with its big brown or hazel eyes set off by long, houndy ears set low on a broad head.a breed described as “merry” by its fanciers, beagles are loving and lovable, happy, and companionable—all qualities that make them excellent family dogs. no wonder that for years the beagle has been the most popular hound dog among american pet owners. these are curious, clever, and energetic hounds who require plenty of playtime. not only is the beagle an excellent hunting dog and loyal companion, it is also happy-go-lucky, funny, and—thanks to its pleading expression—cute. they were bred to hunt in packs, so they enjoy company and are generally easygoing.",5,lively,34.34091082,5.952540414,10.12116823,Hound Group,0.6,2-3 times a week,0.4,occasional,0.8,energetic,0.6,agreeable,0.8,friendly
beagle,"there are two beagle varieties: those standing under 13 inches at the shoulder, and those between 13 and 15 inches. both varieties are sturdy, solid, and “big for their inches,” as dog folks say. they come in such pleasing colors as lemon, red and white, and tricolor. the beagle’s fortune is in his adorable face, with its big brown or hazel eyes set off by long, houndy ears set low on a broad head.a breed described as “merry” by its fanciers, beagles are loving and lovable, happy, and companionable—all qualities that make them excellent family dogs. no wonder that for years the beagle has been the most popular hound dog among american pet owners. these are curious, clever, and energetic hounds who require plenty of playtime. not only is the beagle an excellent hunting dog and loyal companion, it is also happy-go-lucky, funny, and—thanks to its pleading expression—cute. they were bred to hunt in packs, so they enjoy company and are generally easygoing.",5,lively,31.17666559,7.736542833,14.34743818,Hound Group,0.6,2-3 times a week,0.6,seasonal,0.8,energetic,0.6,agreeable,0.6,responsive
beagle,"there are two beagle varieties: those standing under 13 inches at the shoulder, and those between 13 and 15 inches. both varieties are sturdy, solid, and “big for their inches,” as dog folks say. they come in such pleasing colors as lemon, red and white, and tricolor. the beagle’s fortune is in his adorable face, with its big brown or hazel eyes set off by long, houndy ears set low on a broad head.a breed described as “merry” by its fanciers, beagles are loving and lovable, happy, and companionable—all qualities that make them excellent family dogs. no wonder that for years the beagle has been the most popular hound dog among american pet owners. these are curious, clever, and energetic hounds who require plenty of playtime. not only is the beagle an excellent hunting dog and loyal companion, it is also happy-go-lucky, funny, and—thanks to its pleading expression—cute. they were bred to hunt in packs, so they enjoy company and are generally easygoing.",5,lively,33.71437122,14.51379413,14.61180102,Hound Group,0.6,2-3 times a week,0.6,seasonal,0.8,energetic,0.6,agreeable,0.8,friendly
boxer,"a well-made boxer in peak condition is an awesome sight. a male can stand as high as 25 inches at the shoulder; females run smaller. their muscles ripple beneath a short, tight-fitting coat. the dark brown eyes and wrinkled forehead give the face an alert, curious look. the coat can be fawn or brindle, with white markings. boxers move like the athletes they are named for: smooth and graceful, with a powerful forward thrust.boxers are upbeat and playful. their patience and protective nature have earned them a reputation as a great dog with children. they take the jobs of watchdog and family guardian seriously and will meet threats fearlessly. boxers do best when exposed to a lot of people and other animals in early puppyhood. loyalty, affection, intelligence, work ethic, and good looks: boxers are the whole doggy package. bright and alert, sometimes silly, but always courageous, the boxer has been among america’s most popular dog breeds for a very long time.",2,charming,54.97938325,27.081198,10.49626476,Working Group,0.4,weekly,0.4,occasional,0.6,regular exercise,0.8,easy training,1,outgoing
boxer,"a well-made boxer in peak condition is an awesome sight. a male can stand as high as 25 inches at the shoulder; females run smaller. their muscles ripple beneath a short, tight-fitting coat. the dark brown eyes and wrinkled forehead give the face an alert, curious look. the coat can be fawn or brindle, with white markings. boxers move like the athletes they are named for: smooth and graceful, with a powerful forward thrust.boxers are upbeat and playful. their patience and protective nature have earned them a reputation as a great dog with children. they take the jobs of watchdog and family guardian seriously and will meet threats fearlessly. boxers do best when exposed to a lot of people and other animals in early puppyhood. loyalty, affection, intelligence, work ethic, and good looks: boxers are the whole doggy package. bright and alert, sometimes silly, but always courageous, the boxer has been among america’s most popular dog breeds for a very long time.",5,lively,61.23754075,10.45268792,10.23312215,Working Group,0.4,weekly,0.4,occasional,0.8,energetic,0.8,easy training,1,outgoing
boxer,"a well-made boxer in peak condition is an awesome sight. a male can stand as high as 25 inches at the shoulder; females run smaller. their muscles ripple beneath a short, tight-fitting coat. the dark brown eyes and wrinkled forehead give the face an alert, curious look. the coat can be fawn or brindle, with white markings. boxers move like the athletes they are named for: smooth and graceful, with a powerful forward thrust.boxers are upbeat and playful. their patience and protective nature have earned them a reputation as a great dog with children. they take the jobs of watchdog and family guardian seriously and will meet threats fearlessly. boxers do best when exposed to a lot of people and other animals in early puppyhood. loyalty, affection, intelligence, work ethic, and good looks: boxers are the whole doggy package. bright and alert, sometimes silly, but always courageous, the boxer has been among america’s most popular dog breeds for a very long time.",5,lively,53.5444839,10.30785149,11.97670075,Working Group,0.4,weekly,0.4,occasional,0.8,energetic,0.8,easy training,1,outgoing
boxer,"a well-made boxer in peak condition is an awesome sight. a male can stand as high as 25 inches at the shoulder; females run smaller. their muscles ripple beneath a short, tight-fitting coat. the dark brown eyes and wrinkled forehead give the face an alert, curious look. the coat can be fawn or brindle, with white markings. boxers move like the athletes they are named for: smooth and graceful, with a powerful forward thrust.boxers are upbeat and playful. their patience and protective nature have earned them a reputation as a great dog with children. they take the jobs of watchdog and family guardian seriously and will meet threats fearlessly. boxers do best when exposed to a lot of people and other animals in early puppyhood. loyalty, affection, intelligence, work ethic, and good looks: boxers are the whole doggy package. bright and alert, sometimes silly, but always courageous, the boxer has been among america’s most popular dog breeds for a very long time.",5,lively,50.10517732,14.90253962,10.2719806,Working Group,0.4,weekly,0.4,occasional,0.8,energetic,0.8,easy training,1,outgoing
boxer,"a well-made boxer in peak condition is an awesome sight. a male can stand as high as 25 inches at the shoulder; females run smaller. their muscles ripple beneath a short, tight-fitting coat. the dark brown eyes and wrinkled forehead give the face an alert, curious look. the coat can be fawn or brindle, with white markings. boxers move like the athletes they are named for: smooth and graceful, with a powerful forward thrust.boxers are upbeat and playful. their patience and protective nature have earned them a reputation as a great dog with children. they take the jobs of watchdog and family guardian seriously and will meet threats fearlessly. boxers do best when exposed to a lot of people and other animals in early puppyhood. loyalty, affection, intelligence, work ethic, and good looks: boxers are the whole doggy package. bright and alert, sometimes silly, but always courageous, the boxer has been among america’s most popular dog breeds for a very long time.",2,charming,58.43054754,19.88210761,11.98958846,Working Group,0.4,weekly,0.4,occasional,0.8,energetic,0.8,easy training,1,outgoing
